,Player,#,Nation,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR
0,Roberto Firmino,9,br BRA,FW,86.0,0,1,0.9,0.9,0.4,4,1,0,1,0,1,0,0,0
1,James Milner,7,eng ENG,CM,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Divock Origi,27,be BEL,LW,74.0,1,0,0.2,0.2,0.0,1,1,0,2,4,3,1,0,0
3,Sadio Mané,10,sn SEN,LW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,Mohamed Salah,11,eg EGY,RW,90.0,1,1,0.3,0.3,0.2,2,1,1,1,7,0,0,0,0
5,Georginio Wijnaldum,5,nl NED,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,1,0,0
6,Jordan Henderson,14,eng ENG,CM,90.0,0,0,0.2,0.2,0.0,2,1,2,2,4,0,2,0,0
7,Fabinho,3,br BRA,DM,90.0,0,0,0.0,0.0,0.0,1,1,1,1,0,2,2,0,0
8,Andrew Robertson,26,sco SCO,LB,90.0,0,0,0.0,0.0,0.0,2,0,0,0,9,2,1,0,0
9,Virgil van Dijk,4,nl NED,CB,90.0,1,0,0.0,0.0,0.0,1,1,0,0,0,2,5,0,0
10,Joe Gomez,12,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,0,0,0
11,Trent Alexander-Arnold,66,eng ENG,RB,90.0,0,1,0.1,0.1,1.0,2,1,1,0,8,1,2,0,0
12,Alisson,1,br BRA,GK,39.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
13,Adrián,13,es ESP,GK,51.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Teemu Pukki,22,fi FIN,FW,83.0,1,0,0.4,0.4,0.1,3,1,0,1,0,1,1,0,0
1,Josip Drmić,20,ch SUI,FW,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Todd Cantwell,14,eng ENG,LW,90.0,0,0,0.0,0.0,0.1,0,0,0,3,0,0,0,0,0
3,Emi Buendía,17,ar ARG,RW,90.0,0,1,0.1,0.1,0.5,2,2,1,1,1,1,1,1,0
4,Marco Stiepermann,18,de GER,AM,58.0,0,0,0.2,0.2,0.0,3,1,0,1,0,0,0,0,0
5,Moritz Leitner,10,de GER,AM,32.0,0,0,0.0,0.0,0.1,1,0,2,1,0,0,1,1,0
6,Tom Trybull,19,de GER,CM,70.0,0,0,0.0,0.0,0.0,1,0,3,1,0,3,1,0,0
7,Onel Hernández,11,cu CUB,CM,20.0,0,0,0.1,0.1,0.0,2,1,0,0,0,0,0,0,0
8,Kenny McLean,23,sco SCO,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0
9,Jamal Lewis,12,nir NIR,LB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,0,0,0
10,Ben Godfrey,4,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,1,1,0,0,0,1,4,0,0
11,Grant Hanley,5,sco SCO,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
12,Max Aarons,2,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,0,0
13,Tim Krul,1,nl NED,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Sébastien Haller,22,fr FRA,FW,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,3,2,0,0
1,Michail Antonio,30,eng ENG,LW,45.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,1,0,0
2,Pablo Fornals,18,es ESP,CM,45.0,0,0,0.0,0.0,0.4,0,0,0,2,1,3,0,0,0
3,Felipe Anderson,8,br BRA,RW,66.0,0,0,0.0,0.0,0.0,0,0,1,1,2,0,0,1,0
4,Javier Hernández,9,mx MEX,FW,24.0,0,0,0.4,0.4,0.0,2,1,0,0,0,0,0,0,0
5,Manuel Lanzini,10,ar ARG,AM,90.0,0,0,0.1,0.1,0.0,1,1,0,1,1,1,0,0,0
6,Declan Rice,41,eng ENG,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,2,0,0
7,Jack Wilshere,19,eng ENG,CM,56.0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0
8,Robert Snodgrass,11,sco SCO,DM,34.0,0,0,0.0,0.0,0.2,0,0,1,1,3,0,0,0,0
9,Aaron Cresswell,3,eng ENG,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0
10,Issa Diop,23,fr FRA,CB,90.0,0,0,0.2,0.2,0.0,1,0,1,1,0,2,2,0,0
11,Fabián Balbuena,4,py PAR,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,1,0
12,Ryan Fredericks,24,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,3,2,1,0,0
13,Łukasz Fabiański,1,pl POL,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Gabriel Jesus,9,br BRA,FW,69.0,1,0,0.6,0.6,0.0,2,2,3,2,0,1,0,0,0
1,Sergio Agüero,10,ar ARG,FW,21.0,1,0,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Raheem Sterling,7,eng ENG,LW,90.0,3,0,1.4,1.4,0.0,4,4,3,2,0,1,1,1,0
3,Riyad Mahrez,26,dz ALG,RW,90.0,0,2,0.1,0.1,1.0,3,1,1,1,0,3,2,0,0
4,David Silva,21,es ESP,CM,80.0,0,0,0.4,0.4,0.1,2,0,1,0,1,1,0,0,0
5,Phil Foden,47,eng ENG,AM,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
6,Kevin De Bruyne,17,be BEL,CM,79.0,0,1,0.0,0.0,0.8,1,1,1,0,2,2,2,0,0
7,İlkay Gündoğan,8,de GER,DM,11.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
8,Rodri,16,es ESP,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,0,0,2,0,0,0
9,Oleksandr Zinchenko,11,ua UKR,LB,90.0,0,0,0.0,0.0,0.1,1,0,0,0,3,1,0,0,0
10,Aymeric Laporte,14,fr FRA,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,4,0,0
11,John Stones,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0
12,Kyle Walker,2,eng ENG,RB,90.0,0,1,0.0,0.0,0.0,0,0,1,0,0,1,1,1,0
13,Ederson,31,br BRA,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Ashley Barnes,10,at AUT,FW,84.0,2,0,0.5,0.5,0.0,4,3,1,1,0,0,0,0,0
1,Jay Rodriguez,19,eng ENG,FW,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Chris Wood,9,nz NZL,FW,90.0,0,0,0.0,0.0,0.0,1,0,1,1,2,0,0,0,0
3,Dwight McNeil,11,eng ENG,CM,84.0,0,0,0.0,0.0,0.0,0,0,0,1,3,2,1,0,0
4,Aaron Lennon,25,eng ENG,CM,6.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
5,Ashley Westwood,18,eng ENG,CM,90.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,0,0,0
6,Jack Cork,4,eng ENG,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0
7,Jóhann Berg Guðmundsson,7,is ISL,CM,90.0,1,0,0.1,0.1,0.0,2,1,1,1,3,2,2,0,0
8,Erik Pieters,23,nl NED,LB,90.0,0,2,0.0,0.0,0.3,1,0,0,1,2,3,2,0,0
9,Ben Mee,6,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,3,0,0
10,James Tarkowski,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,1,0,1,3,0,2,2,0,0
11,Matthew Lowton,2,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,3,2,2,0,0
12,Nick Pope,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Che Adams,10,eng ENG,FW,73.0,0,0,0.3,0.3,0.0,2,0,4,0,0,0,0,0,0
1,Sofiane Boufal,19,ma MAR,LW,17.0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0
2,Nathan Redmond,22,eng ENG,AM,90.0,0,0,0.1,0.1,0.0,2,1,2,2,0,0,0,0,0
3,Danny Ings,9,eng ENG,AM,66.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,Michael Obafemi,20,ie IRL,RW,24.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
5,James Ward-Prowse,16,eng ENG,DM,90.0,0,0,0.0,0.0,0.0,2,1,0,1,4,1,1,0,0
6,Oriol Romeu,14,es ESP,DM,90.0,0,0,0.1,0.1,0.0,3,0,2,1,0,1,2,0,0
7,Ryan Bertrand,21,eng ENG,WB,90.0,0,0,0.1,0.1,0.0,1,0,1,1,3,0,1,0,0
8,Yan Valery,43,fr FRA,WB,90.0,0,0,0.0,0.0,0.3,0,0,1,0,3,1,0,0,0
9,Jannik Vestergaard,4,dk DEN,CB,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,1,1,0,0
10,Jack Stephens,5,eng ENG,CB,73.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
11,Pierre Højbjerg,23,dk DEN,CM,17.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
12,Jan Bednarek,35,pl POL,CB,90.0,0,0,0.1,0.1,0.1,1,0,1,1,0,0,3,0,0
13,Angus Gunn,28,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Callum Wilson,13,eng ENG,FW,90.0,0,0,0.4,0.4,0.0,1,1,2,1,1,0,0,0,0
1,Dominic Solanke,9,eng ENG,FW,,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
2,Ryan Fraser,24,sco SCO,AM,90.0,0,0,0.1,0.1,0.0,1,0,1,4,7,0,0,1,0
3,Joshua King,7,no NOR,AM,90.0,0,0,0.1,0.1,0.0,1,0,1,1,0,0,0,0,0
4,Jefferson Lerma,8,co COL,DM,90.0,0,0,0.1,0.1,0.0,2,0,0,3,0,1,0,0,0
5,Philip Billing,29,dk DEN,DM,90.0,0,0,0.1,0.1,0.2,2,1,2,0,0,3,4,0,0
6,Diego Rico,21,es ESP,WB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,4,0,3,0,0
7,Adam Smith,15,eng ENG,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,2,1,0,1,0
8,Nathan Aké,5,nl NED,CB,90.0,0,0,0.1,0.1,0.0,2,0,1,0,0,3,2,0,0
9,Steve Cook,3,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,2,0,0
10,Chris Mepham,33,wal WAL,CB,90.0,1,0,0.3,0.3,0.0,2,1,2,3,0,0,1,0,0
11,Aaron Ramsdale,12,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
0,David McGoldrick,17,ie IRL,FW,63.0,0,0,0.2,0.2,0.0,2,1,3,3,0,1,0,0,0
1,Oliver McBurnie,9,sco SCO,FW,27.0,0,0,0.3,0.3,0.0,1,0,0,0,0,0,0,0,0
2,Callum Robinson,11,ie IRL,FW,90.0,0,0,0.2,0.2,0.0,2,1,4,0,0,1,2,0,0
3,John Fleck,4,sco SCO,CM,90.0,0,0,0.0,0.0,0.1,0,0,2,0,4,1,0,1,0
4,John Lundstram,7,eng ENG,CM,78.0,0,0,0.0,0.0,0.2,1,0,0,0,3,0,1,0,0
5,Luke Freeman,8,eng ENG,CM,12.0,0,0,0.0,0.0,0.0,0,0,0,1,2,0,0,0,0
6,Oliver Norwood,16,nir NIR,DM,90.0,0,0,0.0,0.0,0.1,0,0,2,1,7,2,4,0,0
7,Enda Stevens,3,ie IRL,WB,90.0,0,0,0.0,0.0,0.0,0,0,4,0,1,0,0,0,0
8,George Baldock,2,eng ENG,WB,90.0,0,0,0.0,0.0,0.3,1,0,1,0,1,0,1,0,0
9,Jack O'Connell,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,2,0,0
10,John Egan,12,ie IRL,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,3,3,0,0
11,Chris Basham,6,eng ENG,CB,82.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,2,0,0
12,Billy Sharp,10,eng ENG,FW,8.0,1,0,0.4,0.4,0.0,1,1,1,0,0,0,0,0,0
13,Dean Henderson,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Troy Deeney,9,eng ENG,FW,90.0,0,0,0.0,0.0,0.1,1,1,2,1,0,0,0,0,0
1,Andre Gray,18,eng ENG,FW,75.0,0,0,0.3,0.3,0.0,1,1,1,0,0,0,0,0,0
2,Isaac Success,22,ng NGA,FW,15.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
3,Gerard Deulofeu,7,es ESP,AM,45.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
4,Roberto Pereyra,37,ar ARG,AM,45.0,0,0,0.3,0.3,0.0,3,0,0,1,0,0,0,0,0
5,Will Hughes,19,eng ENG,AM,90.0,0,0,0.1,0.1,0.0,1,0,3,3,2,1,4,0,0
6,Étienne Capoue,29,fr FRA,CM,90.0,0,0,0.0,0.0,0.0,1,0,1,3,0,0,3,0,0
7,Abdoulaye Doucouré,16,fr FRA,CM,90.0,0,0,0.0,0.0,0.2,0,0,1,2,0,1,1,0,0
8,José Holebas,25,gr GRE,LB,90.0,0,0,0.0,0.0,0.0,0,0,4,0,6,3,0,0,0
9,Craig Cathcart,15,nir NIR,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0
10,Craig Dawson,4,eng ENG,CB,90.0,0,0,0.2,0.2,0.0,2,1,1,0,0,1,3,0,0
11,Kiko Femenía,21,es ESP,RB,90.0,0,0,0.0,0.0,0.3,1,0,0,0,4,1,1,0,0
12,Ben Foster,26,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Glenn Murray,17,eng ENG,FW,64.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0
1,Neal Maupay,7,fr FRA,FW,26.0,1,0,0.4,0.4,0.0,1,1,0,1,0,0,0,0,0
2,Jürgen Locadia,9,nl NED,AM,64.0,0,0,0.1,0.1,0.0,1,1,0,1,1,0,0,0,0
3,Florin Andone,10,ro ROU,AM,26.0,1,0,0.2,0.2,0.0,1,1,0,0,0,1,0,0,0
4,Pascal Groß,13,de GER,AM,90.0,0,0,0.0,0.0,0.0,0,0,1,2,5,1,0,0,0
5,Dale Stephens,6,eng ENG,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,2,0,2,1,0,0
6,Davy Pröpper,24,nl NED,DM,90.0,0,1,0.0,0.0,0.2,1,0,0,0,2,0,0,0,0
7,Solly March,20,eng ENG,WB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,2,3,0,0
8,Bernardo,30,br BRA,WB,,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,Martín Montoya,22,es ESP,WB,90.0,0,0,0.0,0.0,0.1,0,0,0,2,2,1,1,0,0
10,Dan Burn,33,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0
11,Lewis Dunk,5,eng ENG,CB,90.0,0,1,0.0,0.0,0.4,0,0,2,2,0,2,2,1,0
12,Shane Duffy,4,ie IRL,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,3,2,0,0
13,Mathew Ryan,1,au AUS,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Jordan Ayew,9,gh GHA,FW,65.0,0,0,0.4,0.4,0.0,1,1,0,5,0,0,1,0,0
1,Wilfried Zaha,11,ci CIV,FW,25.0,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0
2,Christian Benteke,17,be BEL,FW,83.0,0,0,0.0,0.0,0.4,1,0,2,0,0,2,1,0,0
3,Connor Wickham,21,eng ENG,FW,7.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
4,Max Meyer,7,de GER,CM,90.0,0,0,0.3,0.3,0.0,3,1,1,0,3,1,2,1,0
5,Luka Milivojević,4,rs SRB,CM,90.0,0,0,0.0,0.0,0.3,0,0,7,1,3,1,1,1,0
6,James McArthur,18,sco SCO,CM,90.0,0,0,0.0,0.0,0.0,0,0,4,0,0,5,3,0,0
7,Andros Townsend,10,eng ENG,CM,90.0,0,0,0.0,0.0,0.2,0,0,1,2,6,3,0,0,0
8,Patrick van Aanholt,3,nl NED,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0
9,Scott Dann,6,eng ENG,CB,90.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,1,0,0
10,Martin Kelly,34,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,2,0,0,0
11,Joel Ward,2,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,2,0,0
12,Vicente Guaita,31,es ESP,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Dominic Calvert-Lewin,9,eng ENG,FW,69.0,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0
1,Moise Kean,27,it ITA,FW,21.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
2,Bernard,20,br BRA,LW,90.0,0,0,0.0,0.0,0.1,0,0,2,0,1,0,0,1,0
3,Richarlison,7,br BRA,RW,90.0,0,0,0.1,0.1,0.0,3,0,2,4,3,3,1,0,0
4,Gylfi Sigurðsson,10,is ISL,AM,79.0,0,0,0.4,0.4,0.1,4,1,1,1,1,0,0,0,0
5,Tom Davies,26,eng ENG,CM,11.0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0
6,André Gomes,21,pt POR,CM,45.0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0
7,Jean-Philippe Gbamin,25,ci CIV,CM,45.0,0,0,0.0,0.0,0.0,0,0,0,1,0,2,0,0,0
8,Morgan Schneiderlin,18,fr FRA,CM,75.0,0,0,0.0,0.0,0.1,0,0,4,0,0,1,2,2,1
9,Lucas Digne,12,fr FRA,LB,90.0,0,0,0.1,0.1,0.2,1,0,1,0,6,0,0,0,0
10,Yerry Mina,13,co COL,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,3,0,0
11,Michael Keane,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,4,0,0
12,Séamus Coleman,23,ie IRL,RB,90.0,0,0,0.2,0.2,0.0,1,1,1,1,6,1,4,0,0
13,Jordan Pickford,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Harry Kane,10,eng ENG,FW,90.0,2,0,0.8,0.8,0.1,7,2,3,0,3,0,0,0,0
1,Lucas Moura,27,br BRA,FW,90.0,0,1,0.3,0.3,0.0,3,1,0,0,1,1,0,0,0
2,Érik Lamela,11,ar ARG,AM,88.0,0,0,0.3,0.3,0.1,4,0,0,1,10,2,0,1,0
3,Georges-Kévin N'Koudou,14,fr FRA,LW,2.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
4,Moussa Sissoko,17,fr FRA,CM,90.0,0,1,0.4,0.4,0.1,4,0,3,2,5,1,0,0,0
5,Tanguy Ndombele,28,fr FRA,CM,90.0,1,0,0.0,0.0,0.5,2,1,2,0,2,1,1,0,0
6,Oliver Skipp,29,eng ENG,CM,,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
7,Harry Winks,8,eng ENG,DM,64.0,0,0,0.0,0.0,0.0,1,0,0,1,0,2,0,0,0
8,Christian Eriksen,23,dk DEN,AM,26.0,0,0,0.3,0.3,0.4,3,1,0,0,8,0,1,0,0
9,Danny Rose,3,eng ENG,LB,90.0,0,0,0.0,0.0,0.3,0,0,3,2,6,1,0,0,0
10,Davinson Sánchez,6,co COL,CB,90.0,0,0,0.4,0.4,0.0,2,1,0,0,0,1,1,0,0
11,Toby Alderweireld,4,be BEL,CB,90.0,0,0,0.1,0.1,0.0,2,1,1,0,0,1,1,0,0
12,Kyle Walker-Peters,16,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,1,0,1,3,4,2,0,0,0
13,Hugo Lloris,1,fr FRA,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Wesley Moraes,9,br BRA,FW,74.0,0,0,0.0,0.0,0.0,1,1,1,1,0,1,0,0,0
1,Jonathan Kodjia,26,ci CIV,FW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Anwar El Ghazi,21,nl NED,CM,90.0,0,0,0.0,0.0,0.0,2,1,3,1,3,0,1,0,0
3,Jack Grealish,10,eng ENG,CM,90.0,0,0,0.0,0.0,0.1,0,0,1,5,0,5,1,0,0
4,John McGinn,7,sco SCO,CM,90.0,1,0,0.3,0.3,0.2,2,1,2,2,0,2,1,0,0
5,Trézéguet,17,eg EGY,CM,59.0,0,0,0.2,0.2,0.0,2,1,1,2,3,0,0,0,0
6,Jota,23,es ESP,CM,31.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0
7,Conor Hourihane,14,ie IRL,DM,82.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,4,0,0
8,Douglas Luiz,6,br BRA,DM,8.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
9,Neil Taylor,3,wal WAL,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
10,Tyrone Mings,40,eng ENG,CB,90.0,0,1,0.0,0.0,0.2,0,0,0,0,0,0,2,0,0
11,Björn Engels,22,be BEL,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
12,Ahmed Elmohamady,27,eg EGY,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
13,Tom Heaton,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Jamie Vardy,9,eng ENG,FW,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0
1,James Maddison,10,eng ENG,CM,90.0,0,0,0.1,0.1,0.0,4,0,2,2,15,3,0,0,0
2,Hamza Choudhury,20,eng ENG,CM,61.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
3,Harvey Barnes,15,eng ENG,CM,29.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
4,Youri Tielemans,8,be BEL,CM,90.0,0,0,0.1,0.1,0.1,2,0,0,1,2,0,0,0,0
5,Ayoze Pérez,17,es ESP,CM,76.0,0,0,0.0,0.0,0.0,1,0,0,2,3,0,0,0,0
6,Marc Albrighton,11,eng ENG,CM,14.0,0,0,0.1,0.1,0.0,2,0,0,0,2,0,0,0,0
7,Wilfred Ndidi,25,ng NGA,DM,90.0,0,0,0.1,0.1,0.0,2,0,1,1,0,5,5,0,0
8,Ben Chilwell,3,eng ENG,LB,90.0,0,0,0.0,0.0,0.1,1,0,0,0,3,0,1,0,0
9,Çağlar Söyüncü,4,tr TUR,CB,90.0,0,0,0.0,0.0,0.0,1,1,0,0,0,6,0,0,0
10,Jonny Evans,6,nir NIR,CB,90.0,0,0,0.1,0.1,0.0,1,0,0,0,1,3,1,0,0
11,Ricardo Pereira,21,pt POR,RB,90.0,0,0,0.0,0.0,0.0,1,0,0,4,1,3,0,0,0
12,Kasper Schmeichel,1,dk DEN,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Diogo Jota,18,pt POR,FW,76.0,0,0,0.2,0.2,0.1,3,0,2,0,0,1,0,0,0
1,Patrick Cutrone,10,it ITA,FW,14.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
2,Raúl Jiménez,9,mx MEX,FW,90.0,0,0,0.2,0.2,0.0,2,2,1,0,0,0,2,0,0
3,João Moutinho,28,pt POR,CM,90.0,0,0,0.0,0.0,0.1,0,0,1,0,3,3,0,0,0
4,Leander Dendoncker,32,be BEL,CM,90.0,0,0,0.2,0.2,0.1,2,0,0,0,1,1,1,0,0
5,Rúben Neves,8,pt POR,DM,81.0,0,0,0.0,0.0,0.2,0,0,0,2,1,4,0,1,0
6,Romain Saïss,27,ma MAR,DM,9.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
7,Jonny Castro,19,es ESP,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,1,1,1,1,0
8,Matt Doherty,2,ie IRL,WB,90.0,0,0,0.0,0.0,0.0,0,0,4,1,0,0,0,0,0
9,Willy Boly,15,fr FRA,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,1,0,0
10,Conor Coady,16,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
11,Ryan Bennett,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0
12,Rui Patrício,11,pt POR,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
0,Joelinton,9,br BRA,FW,90.0,0,0,0.3,0.3,0.0,4,1,0,0,0,1,1,0,0
1,Miguel Almirón,24,py PAR,FW,90.0,0,0,0.1,0.1,0.0,2,0,1,2,2,0,0,1,0
2,Sean Longstaff,36,eng ENG,CM,67.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
3,Allan Saint-Maximin,10,fr FRA,CM,23.0,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0
4,Isaac Hayden,14,eng ENG,CM,90.0,0,0,0.0,0.0,0.1,0,0,1,2,0,2,3,0,0
5,Jonjo Shelvey,8,eng ENG,DM,54.0,0,0,0.1,0.1,0.0,2,0,0,0,2,2,0,0,0
6,Jetro Willems,15,nl NED,WB,36.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0
7,Matt Ritchie,11,sco SCO,WB,90.0,0,0,0.0,0.0,0.2,0,0,1,1,6,1,2,0,0
8,Javier Manquillo,19,es ESP,WB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,2,2,2,0,0
9,Paul Dummett,3,wal WAL,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0
10,Jamaal Lascelles,6,eng ENG,CB,90.0,0,0,0.0,0.0,0.1,0,0,2,0,0,1,2,0,0
11,Fabian Schär,5,ch SUI,CB,90.0,0,0,0.0,0.0,0.0,1,0,3,1,0,2,7,0,0
12,Martin Dúbravka,1,sk SVK,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Pierre-Emerick Aubameyang,14,ga GAB,FW,90.0,1,0,0.7,0.7,0.0,4,2,0,0,3,0,0,0,0
1,Reiss Nelson,24,eng ENG,LW,71.0,0,0,0.0,0.0,0.1,0,0,1,1,2,0,0,1,0
2,Nicolas Pépé,19,ci CIV,LW,19.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
3,Henrikh Mkhitaryan,7,am ARM,RW,84.0,0,0,0.2,0.2,0.1,1,0,1,2,3,0,0,1,0
4,Martinelli,35,br BRA,RW,6.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
