Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,position_group,Premier League
Roberto Firmino,FW,86.0,0,1,0.9,0.9,0.4,4,1,0,1,0,1,0,0,0,Forward,PL
James Milner,CM,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Divock Origi,LW,74.0,1,0,0.2,0.2,0.0,1,1,0,2,4,3,1,0,0,Forward,PL
Sadio Mané,LW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Mohamed Salah,RW,90.0,1,1,0.3,0.3,0.2,2,1,1,1,7,0,0,0,0,Forward,PL
Georginio Wijnaldum,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,1,0,0,Midfield,PL
Jordan Henderson,CM,90.0,0,0,0.2,0.2,0.0,2,1,2,2,4,0,2,0,0,Midfield,PL
Fabinho,DM,90.0,0,0,0.0,0.0,0.0,1,1,1,1,0,2,2,0,0,Midfield,PL
Andrew Robertson,LB,90.0,0,0,0.0,0.0,0.0,2,0,0,0,9,2,1,0,0,Defender,PL
Virgil van Dijk,CB,90.0,1,0,0.0,0.0,0.0,1,1,0,0,0,2,5,0,0,Defender,PL
Joe Gomez,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,0,0,0,Defender,PL
Trent Alexander-Arnold,RB,90.0,0,1,0.1,0.1,1.0,2,1,1,0,8,1,2,0,0,Defender,PL
Teemu Pukki,FW,83.0,1,0,0.4,0.4,0.1,3,1,0,1,0,1,1,0,0,Forward,PL
Josip Drmić,FW,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Todd Cantwell,LW,90.0,0,0,0.0,0.0,0.1,0,0,0,3,0,0,0,0,0,Forward,PL
Emi Buendía,RW,90.0,0,1,0.1,0.1,0.5,2,2,1,1,1,1,1,1,0,Forward,PL
Marco Stiepermann,AM,58.0,0,0,0.2,0.2,0.0,3,1,0,1,0,0,0,0,0,Midfield,PL
Moritz Leitner,AM,32.0,0,0,0.0,0.0,0.1,1,0,2,1,0,0,1,1,0,Midfield,PL
Tom Trybull,CM,70.0,0,0,0.0,0.0,0.0,1,0,3,1,0,3,1,0,0,Midfield,PL
Onel Hernández,CM,20.0,0,0,0.1,0.1,0.0,2,1,0,0,0,0,0,0,0,Midfield,PL
Kenny McLean,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,Midfield,PL
Jamal Lewis,LB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,0,0,0,Defender,PL
Ben Godfrey,CB,90.0,0,0,0.0,0.0,0.0,1,1,0,0,0,1,4,0,0,Defender,PL
Grant Hanley,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Defender,PL
Max Aarons,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,0,0,Defender,PL
Sébastien Haller,FW,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,3,2,0,0,Forward,PL
Michail Antonio,LW,45.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,1,0,0,Forward,PL
Pablo Fornals,CM,45.0,0,0,0.0,0.0,0.4,0,0,0,2,1,3,0,0,0,Midfield,PL
Felipe Anderson,RW,66.0,0,0,0.0,0.0,0.0,0,0,1,1,2,0,0,1,0,Forward,PL
Javier Hernández,FW,24.0,0,0,0.4,0.4,0.0,2,1,0,0,0,0,0,0,0,Forward,PL
Manuel Lanzini,AM,90.0,0,0,0.1,0.1,0.0,1,1,0,1,1,1,0,0,0,Midfield,PL
Declan Rice,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,2,0,0,Midfield,PL
Jack Wilshere,CM,56.0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,Midfield,PL
Robert Snodgrass,DM,34.0,0,0,0.0,0.0,0.2,0,0,1,1,3,0,0,0,0,Midfield,PL
Aaron Cresswell,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,Defender,PL
Issa Diop,CB,90.0,0,0,0.2,0.2,0.0,1,0,1,1,0,2,2,0,0,Defender,PL
Fabián Balbuena,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,1,0,Defender,PL
Ryan Fredericks,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,3,2,1,0,0,Defender,PL
Gabriel Jesus,FW,69.0,1,0,0.6,0.6,0.0,2,2,3,2,0,1,0,0,0,Forward,PL
Sergio Agüero,FW,21.0,1,0,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Raheem Sterling,LW,90.0,3,0,1.4,1.4,0.0,4,4,3,2,0,1,1,1,0,Forward,PL
Riyad Mahrez,RW,90.0,0,2,0.1,0.1,1.0,3,1,1,1,0,3,2,0,0,Forward,PL
David Silva,CM,80.0,0,0,0.4,0.4,0.1,2,0,1,0,1,1,0,0,0,Midfield,PL
Phil Foden,AM,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Midfield,PL
Kevin De Bruyne,CM,79.0,0,1,0.0,0.0,0.8,1,1,1,0,2,2,2,0,0,Midfield,PL
İlkay Gündoğan,DM,11.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,Midfield,PL
Rodri,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,0,0,2,0,0,0,Midfield,PL
Oleksandr Zinchenko,LB,90.0,0,0,0.0,0.0,0.1,1,0,0,0,3,1,0,0,0,Defender,PL
Aymeric Laporte,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,4,0,0,Defender,PL
John Stones,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,Defender,PL
Kyle Walker,RB,90.0,0,1,0.0,0.0,0.0,0,0,1,0,0,1,1,1,0,Defender,PL
Ashley Barnes,FW,84.0,2,0,0.5,0.5,0.0,4,3,1,1,0,0,0,0,0,Forward,PL
Jay Rodriguez,FW,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Chris Wood,FW,90.0,0,0,0.0,0.0,0.0,1,0,1,1,2,0,0,0,0,Forward,PL
Dwight McNeil,CM,84.0,0,0,0.0,0.0,0.0,0,0,0,1,3,2,1,0,0,Midfield,PL
Aaron Lennon,CM,6.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Midfield,PL
Ashley Westwood,CM,90.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,0,0,0,Midfield,PL
Jack Cork,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,Midfield,PL
Jóhann Berg Guðmundsson,CM,90.0,1,0,0.1,0.1,0.0,2,1,1,1,3,2,2,0,0,Midfield,PL
Erik Pieters,LB,90.0,0,2,0.0,0.0,0.3,1,0,0,1,2,3,2,0,0,Defender,PL
Ben Mee,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,3,0,0,Defender,PL
James Tarkowski,CB,90.0,0,0,0.0,0.0,0.0,1,0,1,3,0,2,2,0,0,Defender,PL
Matthew Lowton,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,3,2,2,0,0,Defender,PL
Che Adams,FW,73.0,0,0,0.3,0.3,0.0,2,0,4,0,0,0,0,0,0,Forward,PL
Sofiane Boufal,LW,17.0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,Forward,PL
Nathan Redmond,AM,90.0,0,0,0.1,0.1,0.0,2,1,2,2,0,0,0,0,0,Midfield,PL
Danny Ings,AM,66.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Michael Obafemi,RW,24.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Forward,PL
James Ward-Prowse,DM,90.0,0,0,0.0,0.0,0.0,2,1,0,1,4,1,1,0,0,Midfield,PL
Oriol Romeu,DM,90.0,0,0,0.1,0.1,0.0,3,0,2,1,0,1,2,0,0,Midfield,PL
Ryan Bertrand,WB,90.0,0,0,0.1,0.1,0.0,1,0,1,1,3,0,1,0,0,Defender,PL
Yan Valery,WB,90.0,0,0,0.0,0.0,0.3,0,0,1,0,3,1,0,0,0,Defender,PL
Jannik Vestergaard,CB,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,1,1,0,0,Defender,PL
Jack Stephens,CB,73.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Defender,PL
Pierre Højbjerg,CM,17.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,Midfield,PL
Jan Bednarek,CB,90.0,0,0,0.1,0.1,0.1,1,0,1,1,0,0,3,0,0,Defender,PL
Callum Wilson,FW,90.0,0,0,0.4,0.4,0.0,1,1,2,1,1,0,0,0,0,Forward,PL
Ryan Fraser,AM,90.0,0,0,0.1,0.1,0.0,1,0,1,4,7,0,0,1,0,Midfield,PL
Joshua King,AM,90.0,0,0,0.1,0.1,0.0,1,0,1,1,0,0,0,0,0,Midfield,PL
Jefferson Lerma,DM,90.0,0,0,0.1,0.1,0.0,2,0,0,3,0,1,0,0,0,Midfield,PL
Philip Billing,DM,90.0,0,0,0.1,0.1,0.2,2,1,2,0,0,3,4,0,0,Midfield,PL
Diego Rico,WB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,4,0,3,0,0,Defender,PL
Adam Smith,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,2,1,0,1,0,Defender,PL
Nathan Aké,CB,90.0,0,0,0.1,0.1,0.0,2,0,1,0,0,3,2,0,0,Defender,PL
Steve Cook,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,2,0,0,Defender,PL
Chris Mepham,CB,90.0,1,0,0.3,0.3,0.0,2,1,2,3,0,0,1,0,0,Defender,PL
David McGoldrick,FW,63.0,0,0,0.2,0.2,0.0,2,1,3,3,0,1,0,0,0,Forward,PL
Oliver McBurnie,FW,27.0,0,0,0.3,0.3,0.0,1,0,0,0,0,0,0,0,0,Forward,PL
Callum Robinson,FW,90.0,0,0,0.2,0.2,0.0,2,1,4,0,0,1,2,0,0,Forward,PL
John Fleck,CM,90.0,0,0,0.0,0.0,0.1,0,0,2,0,4,1,0,1,0,Midfield,PL
John Lundstram,CM,78.0,0,0,0.0,0.0,0.2,1,0,0,0,3,0,1,0,0,Midfield,PL
Luke Freeman,CM,12.0,0,0,0.0,0.0,0.0,0,0,0,1,2,0,0,0,0,Midfield,PL
Oliver Norwood,DM,90.0,0,0,0.0,0.0,0.1,0,0,2,1,7,2,4,0,0,Midfield,PL
Enda Stevens,WB,90.0,0,0,0.0,0.0,0.0,0,0,4,0,1,0,0,0,0,Defender,PL
George Baldock,WB,90.0,0,0,0.0,0.0,0.3,1,0,1,0,1,0,1,0,0,Defender,PL
Jack O'Connell,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,2,0,0,Defender,PL
John Egan,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,3,3,0,0,Defender,PL
Chris Basham,CB,82.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,2,0,0,Defender,PL
Billy Sharp,FW,8.0,1,0,0.4,0.4,0.0,1,1,1,0,0,0,0,0,0,Forward,PL
Troy Deeney,FW,90.0,0,0,0.0,0.0,0.1,1,1,2,1,0,0,0,0,0,Forward,PL
Andre Gray,FW,75.0,0,0,0.3,0.3,0.0,1,1,1,0,0,0,0,0,0,Forward,PL
Isaac Success,FW,15.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,Forward,PL
Gerard Deulofeu,AM,45.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,Midfield,PL
Roberto Pereyra,AM,45.0,0,0,0.3,0.3,0.0,3,0,0,1,0,0,0,0,0,Midfield,PL
Will Hughes,AM,90.0,0,0,0.1,0.1,0.0,1,0,3,3,2,1,4,0,0,Midfield,PL
Étienne Capoue,CM,90.0,0,0,0.0,0.0,0.0,1,0,1,3,0,0,3,0,0,Midfield,PL
Abdoulaye Doucouré,CM,90.0,0,0,0.0,0.0,0.2,0,0,1,2,0,1,1,0,0,Midfield,PL
José Holebas,LB,90.0,0,0,0.0,0.0,0.0,0,0,4,0,6,3,0,0,0,Defender,PL
Craig Cathcart,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,Defender,PL
Craig Dawson,CB,90.0,0,0,0.2,0.2,0.0,2,1,1,0,0,1,3,0,0,Defender,PL
Kiko Femenía,RB,90.0,0,0,0.0,0.0,0.3,1,0,0,0,4,1,1,0,0,Defender,PL
Glenn Murray,FW,64.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,Forward,PL
Neal Maupay,FW,26.0,1,0,0.4,0.4,0.0,1,1,0,1,0,0,0,0,0,Forward,PL
Jürgen Locadia,AM,64.0,0,0,0.1,0.1,0.0,1,1,0,1,1,0,0,0,0,Midfield,PL
Florin Andone,AM,26.0,1,0,0.2,0.2,0.0,1,1,0,0,0,1,0,0,0,Midfield,PL
Pascal Groß,AM,90.0,0,0,0.0,0.0,0.0,0,0,1,2,5,1,0,0,0,Midfield,PL
Dale Stephens,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,2,0,2,1,0,0,Midfield,PL
Davy Pröpper,DM,90.0,0,1,0.0,0.0,0.2,1,0,0,0,2,0,0,0,0,Midfield,PL
Solly March,WB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,2,3,0,0,Defender,PL
Martín Montoya,WB,90.0,0,0,0.0,0.0,0.1,0,0,0,2,2,1,1,0,0,Defender,PL
Dan Burn,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,Defender,PL
Lewis Dunk,CB,90.0,0,1,0.0,0.0,0.4,0,0,2,2,0,2,2,1,0,Defender,PL
Shane Duffy,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,3,2,0,0,Defender,PL
Jordan Ayew,FW,65.0,0,0,0.4,0.4,0.0,1,1,0,5,0,0,1,0,0,Forward,PL
Wilfried Zaha,FW,25.0,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0,Forward,PL
Christian Benteke,FW,83.0,0,0,0.0,0.0,0.4,1,0,2,0,0,2,1,0,0,Forward,PL
Connor Wickham,FW,7.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Forward,PL
Max Meyer,CM,90.0,0,0,0.3,0.3,0.0,3,1,1,0,3,1,2,1,0,Midfield,PL
Luka Milivojević,CM,90.0,0,0,0.0,0.0,0.3,0,0,7,1,3,1,1,1,0,Midfield,PL
James McArthur,CM,90.0,0,0,0.0,0.0,0.0,0,0,4,0,0,5,3,0,0,Midfield,PL
Andros Townsend,CM,90.0,0,0,0.0,0.0,0.2,0,0,1,2,6,3,0,0,0,Midfield,PL
Patrick van Aanholt,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0,Defender,PL
Scott Dann,CB,90.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,1,0,0,Defender,PL
Martin Kelly,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,2,0,0,0,Defender,PL
Joel Ward,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,2,0,0,Defender,PL
Dominic Calvert-Lewin,FW,69.0,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0,Forward,PL
Moise Kean,FW,21.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Forward,PL
Bernard,LW,90.0,0,0,0.0,0.0,0.1,0,0,2,0,1,0,0,1,0,Forward,PL
Richarlison,RW,90.0,0,0,0.1,0.1,0.0,3,0,2,4,3,3,1,0,0,Forward,PL
Gylfi Sigurðsson,AM,79.0,0,0,0.4,0.4,0.1,4,1,1,1,1,0,0,0,0,Midfield,PL
Tom Davies,CM,11.0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,Midfield,PL
André Gomes,CM,45.0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,Midfield,PL
Jean-Philippe Gbamin,CM,45.0,0,0,0.0,0.0,0.0,0,0,0,1,0,2,0,0,0,Midfield,PL
Morgan Schneiderlin,CM,75.0,0,0,0.0,0.0,0.1,0,0,4,0,0,1,2,2,1,Midfield,PL
Lucas Digne,LB,90.0,0,0,0.1,0.1,0.2,1,0,1,0,6,0,0,0,0,Defender,PL
Yerry Mina,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,3,0,0,Defender,PL
Michael Keane,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,4,0,0,Defender,PL
Séamus Coleman,RB,90.0,0,0,0.2,0.2,0.0,1,1,1,1,6,1,4,0,0,Defender,PL
Harry Kane,FW,90.0,2,0,0.8,0.8,0.1,7,2,3,0,3,0,0,0,0,Forward,PL
Lucas Moura,FW,90.0,0,1,0.3,0.3,0.0,3,1,0,0,1,1,0,0,0,Forward,PL
Érik Lamela,AM,88.0,0,0,0.3,0.3,0.1,4,0,0,1,10,2,0,1,0,Midfield,PL
Georges-Kévin N'Koudou,LW,2.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,Forward,PL
Moussa Sissoko,CM,90.0,0,1,0.4,0.4,0.1,4,0,3,2,5,1,0,0,0,Midfield,PL
Tanguy Ndombele,CM,90.0,1,0,0.0,0.0,0.5,2,1,2,0,2,1,1,0,0,Midfield,PL
Harry Winks,DM,64.0,0,0,0.0,0.0,0.0,1,0,0,1,0,2,0,0,0,Midfield,PL
Christian Eriksen,AM,26.0,0,0,0.3,0.3,0.4,3,1,0,0,8,0,1,0,0,Midfield,PL
Danny Rose,LB,90.0,0,0,0.0,0.0,0.3,0,0,3,2,6,1,0,0,0,Defender,PL
Davinson Sánchez,CB,90.0,0,0,0.4,0.4,0.0,2,1,0,0,0,1,1,0,0,Defender,PL
Toby Alderweireld,CB,90.0,0,0,0.1,0.1,0.0,2,1,1,0,0,1,1,0,0,Defender,PL
Kyle Walker-Peters,RB,90.0,0,0,0.0,0.0,0.0,1,0,1,3,4,2,0,0,0,Defender,PL
Wesley Moraes,FW,74.0,0,0,0.0,0.0,0.0,1,1,1,1,0,1,0,0,0,Forward,PL
Jonathan Kodjia,FW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Anwar El Ghazi,CM,90.0,0,0,0.0,0.0,0.0,2,1,3,1,3,0,1,0,0,Midfield,PL
Jack Grealish,CM,90.0,0,0,0.0,0.0,0.1,0,0,1,5,0,5,1,0,0,Midfield,PL
John McGinn,CM,90.0,1,0,0.3,0.3,0.2,2,1,2,2,0,2,1,0,0,Midfield,PL
Trézéguet,CM,59.0,0,0,0.2,0.2,0.0,2,1,1,2,3,0,0,0,0,Midfield,PL
Jota,CM,31.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,Midfield,PL
Conor Hourihane,DM,82.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,4,0,0,Midfield,PL
Douglas Luiz,DM,8.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Midfield,PL
Neil Taylor,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,Defender,PL
Tyrone Mings,CB,90.0,0,1,0.0,0.0,0.2,0,0,0,0,0,0,2,0,0,Defender,PL
Björn Engels,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Defender,PL
Ahmed Elmohamady,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,Defender,PL
Jamie Vardy,FW,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,Forward,PL
James Maddison,CM,90.0,0,0,0.1,0.1,0.0,4,0,2,2,15,3,0,0,0,Midfield,PL
Hamza Choudhury,CM,61.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,Midfield,PL
Harvey Barnes,CM,29.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,Midfield,PL
Youri Tielemans,CM,90.0,0,0,0.1,0.1,0.1,2,0,0,1,2,0,0,0,0,Midfield,PL
Ayoze Pérez,CM,76.0,0,0,0.0,0.0,0.0,1,0,0,2,3,0,0,0,0,Midfield,PL
Marc Albrighton,CM,14.0,0,0,0.1,0.1,0.0,2,0,0,0,2,0,0,0,0,Midfield,PL
Wilfred Ndidi,DM,90.0,0,0,0.1,0.1,0.0,2,0,1,1,0,5,5,0,0,Midfield,PL
Ben Chilwell,LB,90.0,0,0,0.0,0.0,0.1,1,0,0,0,3,0,1,0,0,Defender,PL
Çağlar Söyüncü,CB,90.0,0,0,0.0,0.0,0.0,1,1,0,0,0,6,0,0,0,Defender,PL
Jonny Evans,CB,90.0,0,0,0.1,0.1,0.0,1,0,0,0,1,3,1,0,0,Defender,PL
Ricardo Pereira,RB,90.0,0,0,0.0,0.0,0.0,1,0,0,4,1,3,0,0,0,Defender,PL
Diogo Jota,FW,76.0,0,0,0.2,0.2,0.1,3,0,2,0,0,1,0,0,0,Forward,PL
Patrick Cutrone,FW,14.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Forward,PL
Raúl Jiménez,FW,90.0,0,0,0.2,0.2,0.0,2,2,1,0,0,0,2,0,0,Forward,PL
João Moutinho,CM,90.0,0,0,0.0,0.0,0.1,0,0,1,0,3,3,0,0,0,Midfield,PL
Leander Dendoncker,CM,90.0,0,0,0.2,0.2,0.1,2,0,0,0,1,1,1,0,0,Midfield,PL
Rúben Neves,DM,81.0,0,0,0.0,0.0,0.2,0,0,0,2,1,4,0,1,0,Midfield,PL
Romain Saïss,DM,9.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,Midfield,PL
Jonny Castro,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,1,1,1,1,0,Defender,PL
Matt Doherty,WB,90.0,0,0,0.0,0.0,0.0,0,0,4,1,0,0,0,0,0,Defender,PL
Willy Boly,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,1,0,0,Defender,PL
Conor Coady,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Defender,PL
Ryan Bennett,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,Defender,PL
Joelinton,FW,90.0,0,0,0.3,0.3,0.0,4,1,0,0,0,1,1,0,0,Forward,PL
Miguel Almirón,FW,90.0,0,0,0.1,0.1,0.0,2,0,1,2,2,0,0,1,0,Forward,PL
Sean Longstaff,CM,67.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Midfield,PL
Allan Saint-Maximin,CM,23.0,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,Midfield,PL
Isaac Hayden,CM,90.0,0,0,0.0,0.0,0.1,0,0,1,2,0,2,3,0,0,Midfield,PL
Jonjo Shelvey,DM,54.0,0,0,0.1,0.1,0.0,2,0,0,0,2,2,0,0,0,Midfield,PL
Jetro Willems,WB,36.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,Defender,PL
Matt Ritchie,WB,90.0,0,0,0.0,0.0,0.2,0,0,1,1,6,1,2,0,0,Defender,PL
Javier Manquillo,WB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,2,2,2,0,0,Defender,PL
Paul Dummett,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,Defender,PL
Jamaal Lascelles,CB,90.0,0,0,0.0,0.0,0.1,0,0,2,0,0,1,2,0,0,Defender,PL
Fabian Schär,CB,90.0,0,0,0.0,0.0,0.0,1,0,3,1,0,2,7,0,0,Defender,PL
Pierre-Emerick Aubameyang,FW,90.0,1,0,0.7,0.7,0.0,4,2,0,0,3,0,0,0,0,Forward,PL
Reiss Nelson,LW,71.0,0,0,0.0,0.0,0.1,0,0,1,1,2,0,0,1,0,Forward,PL
Nicolas Pépé,LW,19.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Forward,PL
Henrikh Mkhitaryan,RW,84.0,0,0,0.2,0.2,0.1,1,0,1,2,3,0,0,1,0,Forward,PL
Martinelli,RW,6.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,Forward,PL
Joe Willock,AM,64.0,0,0,0.0,0.0,0.0,0,0,0,3,0,1,0,0,0,Midfield,PL
Dani Ceballos,AM,26.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Granit Xhaka,DM,90.0,0,0,0.1,0.1,0.1,2,0,1,2,0,1,0,1,0,Midfield,PL
Mattéo Guendouzi,DM,90.0,0,0,0.0,0.0,0.1,0,0,1,0,0,1,2,0,0,Midfield,PL
Nacho Monreal,LB,90.0,0,0,0.0,0.0,0.2,0,0,1,0,1,1,1,0,0,Defender,PL
Sokratis Papastathopoulos,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Defender,PL
Calum Chambers,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Defender,PL
Ainsley Maitland-Niles,RB,90.0,0,1,0.0,0.0,0.3,0,0,1,2,0,2,3,0,0,Defender,PL
Anthony Martial,FW,90.0,1,0,0.6,0.6,0.1,4,2,3,1,2,0,0,1,0,Forward,PL
Marcus Rashford,LW,86.0,2,0,1.1,0.4,0.0,2,1,1,3,1,0,0,0,0,Forward,PL
Mason Greenwood,LW,4.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,0,0,0,Forward,PL
Jesse Lingard,RW,86.0,0,0,0.0,0.0,0.0,0,0,4,1,0,0,0,1,0,Forward,PL
Juan Mata,AM,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Andreas Pereira,AM,74.0,0,1,0.0,0.0,0.4,0,0,1,1,4,3,0,0,0,Midfield,PL
Daniel James,RW,16.0,1,0,0.2,0.2,0.0,1,1,0,2,2,0,0,0,0,Forward,PL
Paul Pogba,CM,90.0,0,2,0.1,0.1,0.5,1,0,2,0,1,2,0,0,0,Midfield,PL
Scott McTominay,CM,90.0,0,0,0.0,0.0,0.0,0,0,3,3,0,2,2,0,0,Midfield,PL
Luke Shaw,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,3,1,0,0,Defender,PL
Harry Maguire,CB,90.0,0,0,0.0,0.0,0.1,0,0,0,1,0,0,4,0,0,Defender,PL
Victor Lindelöf,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,1,1,0,Defender,PL
Aaron Wan-Bissaka,RB,90.0,0,0,0.0,0.0,0.1,1,0,0,0,4,3,3,0,0,Defender,PL
Tammy Abraham,FW,66.0,0,0,0.2,0.2,0.0,2,0,3,0,0,1,0,1,0,Forward,PL
Olivier Giroud,FW,24.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,Forward,PL
Ross Barkley,LW,58.0,0,0,0.1,0.1,0.0,2,1,0,0,0,0,0,0,0,Forward,PL
Christian Pulisic,LW,32.0,0,0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0,Forward,PL
Pedro,RW,90.0,0,0,0.2,0.2,0.2,4,1,0,2,2,0,3,0,0,Forward,PL
Mason Mount,AM,90.0,0,0,0.1,0.1,0.2,2,2,1,0,7,1,0,0,0,Midfield,PL
Mateo Kovačić,CM,90.0,0,0,0.0,0.0,0.1,0,0,0,4,0,4,0,0,0,Midfield,PL
Jorginho,CM,73.0,0,0,0.0,0.0,0.0,1,0,1,1,0,1,3,1,0,Midfield,PL
