Player,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Joe Hart,GK,Burnley,19,19,1710.0,41,2.16,117,78,0.6579999999999999,3,3,13,4,21.1,2,1,1,0
Tom Heaton,GK,Burnley,19,19,1710.0,27,1.42,82,59,0.6829999999999999,8,4,7,4,21.1,1,1,0,0
Wayne Hennessey,GK,Crystal Palace,18,17,1575.0,26,1.49,65,42,0.6459999999999999,4,3,10,5,29.4,4,3,1,0
Bernd Leno,GK,Arsenal,32,31,2835.0,42,1.33,139,105,0.748,16,7,8,7,22.6,7,7,0,0
Hugo Lloris,GK,Tottenham,33,33,2970.0,33,1.0,122,94,0.754,21,2,10,12,36.4,5,3,2,0
Jonas Lössl,GK,Huddersfield,31,30,2777.0,54,1.75,137,87,0.635,3,5,22,5,16.7,5,4,1,0
Alex McCarthy,GK,Southampton,25,25,2250.0,44,1.76,116,77,0.638,5,8,12,4,16.0,2,2,0,0
Will Norris,GK,Wolves,1,0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0
Rui Patrício,GK,Wolves,37,37,3330.0,46,1.24,138,98,0.688,15,9,13,8,21.6,4,3,0,1
Jordan Pickford,GK,Everton,38,38,3420.0,46,1.21,128,86,0.6559999999999999,15,9,14,14,36.8,5,2,3,0
Sergio Rico,GK,Fulham,29,29,2610.0,56,1.93,161,110,0.677,6,3,20,5,17.2,4,4,0,0
John Ruddy,GK,Wolves,1,1,90.0,0,0.0,3,3,1.0,1,0,0,1,100.0,0,0,0,0
Mathew Ryan,GK,Brighton,34,34,3060.0,55,1.62,140,93,0.664,8,8,18,6,17.6,8,8,0,0
Kasper Schmeichel,GK,Leicester City,38,38,3420.0,48,1.26,139,96,0.691,15,7,16,10,26.3,5,5,0,0
Julián Speroni,GK,Crystal Palace,1,1,90.0,4,4.0,9,5,0.556,0,0,1,0,0.0,0,0,0,0
Mark Travers,GK,Bournemouth,2,2,180.0,5,2.5,13,9,0.615,1,0,1,1,50.0,0,0,0,0
Michel Vorm,GK,Tottenham,2,2,180.0,4,2.0,13,9,0.6920000000000001,0,0,2,0,0.0,0,0,0,0
Adrián,GK,Liverpool,10,8,783.0,9,1.03,25,16,0.64,8,0,0,2,25.0,0,0,0,0
Alisson,GK,Liverpool,20,20,1734.0,11,0.57,56,45,0.804,18,1,1,10,50.0,0,0,0,0
Kepa Arrizabalaga,GK,Chelsea,24,24,2160.0,32,1.33,69,41,0.565,12,4,8,5,20.8,2,2,0,0
Claudio Bravo,GK,Manchester City,4,3,346.0,7,1.82,15,8,0.5329999999999999,2,0,1,1,33.3,0,0,0,0
Willy Caballero,GK,Chelsea,4,4,360.0,7,1.75,15,9,0.5329999999999999,1,2,1,0,0.0,0,0,0,0
Martin Dúbravka,GK,Newcastle Utd,28,28,2520.0,41,1.46,149,108,0.725,8,8,12,8,28.6,0,0,0,0
Ederson,GK,Manchester City,24,24,2081.0,22,0.95,65,44,0.6920000000000001,16,3,5,9,37.5,2,2,0,0
Łukasz Fabiański,GK,West Ham,15,15,1219.0,21,1.55,60,42,0.6829999999999999,5,4,6,4,26.7,3,2,1,0
Ralf Fährmann,GK,Norwich City,1,1,22.0,1,4.09,1,1,1.0,0,0,1,0,0.0,1,1,0,0
Ben Foster,GK,Watford,28,28,2520.0,43,1.54,119,81,0.6890000000000001,6,9,13,9,32.1,6,6,0,0
Paulo Gazzaniga,GK,Tottenham,18,17,1612.0,26,1.45,79,56,0.7090000000000001,5,5,7,2,11.8,4,3,1,0
David de Gea,GK,Manchester Utd,28,28,2520.0,30,1.07,97,68,0.701,11,9,8,7,25.0,1,1,0,0
Vicente Guaita,GK,Crystal Palace,26,26,2340.0,28,1.08,109,82,0.743,9,8,9,8,30.8,1,0,0,1
Angus Gunn,GK,Southampton,10,10,900.0,25,2.5,53,30,0.5660000000000001,2,2,6,2,20.0,2,2,0,0
Tom Heaton,GK,Aston Villa,20,20,1795.0,35,1.75,99,67,0.677,6,3,11,4,20.0,3,3,0,0
Dean Henderson,GK,Sheffield Utd,26,26,2340.0,22,0.85,88,66,0.75,10,9,7,9,34.6,2,0,1,1
Wayne Hennessey,GK,Crystal Palace,2,2,180.0,4,2.0,15,11,0.733,0,1,1,0,0.0,0,0,0,0
Tim Krul,GK,Norwich City,26,26,2340.0,44,1.69,129,87,0.682,5,6,15,5,19.2,5,3,2,0
Bernd Leno,GK,Arsenal,27,27,2430.0,36,1.33,130,97,0.762,8,13,6,6,22.2,6,5,1,0
Hugo Lloris,GK,Tottenham,11,11,908.0,13,1.29,52,40,0.769,6,2,3,2,18.2,2,1,1,0
David Martin,GK,West Ham,5,4,435.0,6,1.24,20,14,0.7,2,0,2,2,50.0,0,0,0,0
Alex McCarthy,GK,Southampton,18,18,1620.0,26,1.44,77,52,0.675,8,2,8,4,22.2,1,1,0,0
Michael McGovern,GK,Norwich City,2,1,158.0,6,3.42,11,5,0.455,0,0,1,0,0.0,1,0,1,0
Simon Moore,GK,Sheffield Utd,1,1,90.0,3,3.0,5,2,0.4,0,1,0,0,0.0,0,0,0,0
Ørjan Nyland,GK,Aston Villa,3,1,177.0,8,4.07,15,7,0.467,0,0,1,0,0.0,0,0,0,0
Rui Patrício,GK,Wolves,28,28,2520.0,34,1.21,101,67,0.6629999999999999,10,12,6,7,25.0,2,0,2,0
Jordan Pickford,GK,Everton,28,28,2520.0,42,1.5,107,68,0.617,10,7,11,6,21.4,1,1,0,0
Nick Pope,GK,Burnley,28,28,2520.0,39,1.39,119,81,0.6890000000000001,11,5,12,11,39.3,3,2,1,0
Aaron Ramsdale,GK,Bournemouth,27,27,2430.0,42,1.56,131,93,0.71,7,6,14,4,14.8,4,4,0,0
Darren Randolph,GK,West Ham,2,2,180.0,5,2.5,9,5,0.556,0,1,1,0,0.0,1,1,0,0
Pepe Reina,GK,Aston Villa,5,5,450.0,9,1.8,28,19,0.679,1,1,3,0,0.0,1,0,1,0
Roberto,GK,West Ham,8,7,686.0,17,2.23,51,36,0.6859999999999999,0,1,6,0,0.0,1,1,0,0
Mathew Ryan,GK,Brighton,28,28,2520.0,40,1.43,126,91,0.698,6,10,12,5,17.9,2,2,0,0
Kasper Schmeichel,GK,Leicester City,28,28,2520.0,28,1.0,103,80,0.777,15,5,8,9,32.1,6,5,1,0
Jed Steer,GK,Aston Villa,1,1,8.0,0,0.0,0,0,0.0,0,0,1,0,0.0,0,0,0,0
Mark Travers,GK,Bournemouth,1,1,90.0,3,3.0,5,2,0.4,0,0,1,0,0.0,0,0,0,0
